"TEMPORADA","COLOR","MARCA","DESCRIPCION","CODIGO"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799527E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799088E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799084E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799066E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799068E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799064E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799040E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799042E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799548E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799544E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799526E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799528E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799524E+15"
0,"BLANCO","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799098E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799070E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799067E+15"
0,"GRIS","PIKOLIN","COLCHON MUELLE NORMALOCK","9.97994897799043E+15"
0,"CELESTE","PUROEGO","CAMISA","9.97922709999361E+15"
0,"BLANCO","PUROEGO","CAMISA","9.97922709999368E+15"
0,"BLANCO","PUROEGO","CAMISA","9.97922709999365E+15"
0,"AZUL","PUROEGO","CAMISA","9.97922709999362E+15"
0,"BLANCO","PUROEGO","CAMISA","9.97922709999364E+15"
0,"PORCELANA","PUROEGO","CAMISA","9.97922709999350E+15"
0,"AZUL","PUROEGO","CAMISA","9.97922709999367E+15"
0,"BLANC","SANDRO","CAMISA","9.97914959999992E+15"
0,"BLANCO","SANDRO","CAMISA","9.97914959999998E+15"
0,"MULTICOLOR","SANDRO","CAMISA","9.97914959999993E+15"
0,"MARINO","SANDRO","CAMISA","9.97914959999976E+15"
0,"CRUDO","SANDRO","CAMISA","9.97914959999970E+15"
0,"AZUL","SANDRO","CAMISA","9.97914959999972E+15"
0,"BEIGE","SANDRO","CAMISA","9.97914959999975E+15"
0,"ROJO","SANDRO","CAMISA","9.97914959999951E+15"
0,"AZUL","SANDRO","CAMISA","9.97914959999951E+15"
0,"VERDE","SANDRO","CAMISA","9.97914959999959E+15"
0,"MULTICOLOR","SANDRO","CAMISA","9.97914959999956E+15"
0,"MULTICOLOR","SANDRO","CAMISA","9.97914959999993E+15"
0,"SKY BLUE","SANDRO","CAMISA","9.97914959999978E+15"
0,"AZUL","SANDRO","CAMISA","9.97914959999958E+15"
0,"AZUL","SANDRO","CAMISA","9.97914959999954E+15"
0,"MULTICOLOR","SANDRO","CAMISA","9.97914959999997E+15"
0,"CRUDO","SANDRO","CAMISA","9.97914959999994E+15"
0,"BLANCO","SANDRO","CAMISA","9.97914959999979E+15"
0,"AZUL","SANDRO","CAMISA","9.97914959999976E+15"
0,"BLANCO","SANDRO","CAMISA","9.97914959999972E+15"
0,"MULTICOLOR","SANDRO","CAMISA","9.97914959999955E+15"
0,"BEIGE","SANDRO","CAMISA","9.97914959999979E+15"
0,"MARINO","SANDRO","CAMISA","9.97914959999973E+15"
0,"SKY BLUE","SANDRO","CAMISA","9.97914959999959E+15"
0,"CRUDO","PARFOIS","CAMISA","9.97936497598828E+15"
3,1,"KAREN MILLEN","T-SHIRT","9.97946266595540E+15"
3,"ROSA","FREE STYLE","BUFANDA MICROPOLAR CARITA ZORR","9.97991341999927E+15"
3,"NAVY","FREE STYLE","BUFANDA MICROPOLAR DINO COORDI","9.97991341999925E+15"
4,"NAVY 40","O.T.S.","BLUCHER DOBLE CORDONADURA","9.97915947599965E+15"
4,"MARINO","O.T.S.","ZAPATO CORDONES PICADOS","9.97915947599950E+15"
4,"MARINO","O.T.S.","BTS NAUTICO VELCRO NAPA","9.97915947599969E+15"
4,"MARINO","O.T.S.","MOCASIN BORLAS SERRAJE","9.97915947599966E+15"
4,"NATURAL SUEDE01","O.T.S.","ZAPATO CORDONES PICADOS","9.97915947599962E+15"
